id,type,prompt,tokens,answers,is_hard,comment
1,gapFillLetter,{task_text} (перо в чернила),"[{""text"": ""о"", ""isBlank"": false}, {""text"": ""б"", ""isBlank"": false}, {""text"": ""м"", ""isBlank"": false}, {""text"": ""а"", ""isBlank"": true}, {""text"": ""к"", ""isBlank"": false}, {""text"": ""н"", ""isBlank"": false}, {""text"": ""у"", ""isBlank"": false}, {""text"": ""т"", ""isBlank"": false}, {""text"": ""ь"", ""isBlank"": false}]","[{""id"": 1, ""text"": ""о"", ""isCorrect"": false, ""index"": 1, ""task_id"": 1}, {""id"": 2, ""text"": ""а"", ""isCorrect"": true, ""index"": 2, ""task_id"": 1}]",False,чередование корней мак/мок
2,gapFillLetter,,"[{""text"": ""н"", ""isBlank"": false}, {""text"": ""е"", ""isBlank"": false}, {""text"": ""п"", ""isBlank"": false}, {""text"": ""р"", ""isBlank"": false}, {""text"": ""о"", ""isBlank"": false}, {""text"": ""м"", ""isBlank"": false}, {""text"": ""о"", ""isBlank"": true}, {""text"": ""к"", ""isBlank"": false}, {""text"": ""а"", ""isBlank"": false}, {""text"": ""е"", ""isBlank"": false}, {""text"": ""м"", ""isBlank"": false}, {""text"": ""ы"", ""isBlank"": false}, {""text"": ""й"", ""isBlank"": false}]","[{""id"": 5, ""text"": ""о"", ""isCorrect"": true, ""index"": 3, ""task_id"": 2}, {""id"": 3, ""text"": ""ё"", ""isCorrect"": false, ""index"": 1, ""task_id"": 2}, {""id"": 4, ""text"": ""а"", ""isCorrect"": false, ""index"": 2, ""task_id"": 2}]",False,чередование корней мак/мок
3,gapFillLetter,{task_text} (под дождём),"[{""text"": ""в"", ""isBlank"": false}, {""text"": ""ы"", ""isBlank"": false}, {""text"": ""м"", ""isBlank"": false}, {""text"": ""о"", ""isBlank"": true}, {""text"": ""к"", ""isBlank"": false}, {""text"": ""н"", ""isBlank"": false}, {""text"": ""у"", ""isBlank"": false}, {""text"": ""т"", ""isBlank"": false}, {""text"": ""ь"", ""isBlank"": false}]","[{""id"": 7, ""text"": ""а"", ""isCorrect"": false, ""index"": 3, ""task_id"": 3}, {""id"": 6, ""text"": ""ё"", ""isCorrect"": false, ""index"": 1, ""task_id"": 3}, {""id"": 8, ""text"": ""о"", ""isCorrect"": true, ""index"": 2, ""task_id"": 3}]",False,чередование корней мак/мок
4,gapFillLetter,{task_text} (хлеб в соль),"[{""text"": ""м"", ""isBlank"": false}, {""text"": ""а"", ""isBlank"": true}, {""text"": ""к"", ""isBlank"": false}, {""text"": ""н"", ""isBlank"": false}, {""text"": ""у"", ""isBlank"": false}, {""text"": ""т"", ""isBlank"": false}, {""text"": ""ь"", ""isBlank"": false}]","[{""id"": 10, ""text"": ""а"", ""isCorrect"": true, ""index"": 2, ""task_id"": 4}, {""id"": 9, ""text"": ""о"", ""isCorrect"": false, ""index"": 1, ""task_id"": 4}]",False,чередование корней мак/мок
5,gapFillLetter,{task_text} (бумага),"[{""text"": ""п"", ""isBlank"": false}, {""text"": ""р"", ""isBlank"": false}, {""text"": ""о"", ""isBlank"": false}, {""text"": ""м"", ""isBlank"": false}, {""text"": ""о"", ""isBlank"": true}, {""text"": ""к"", ""isBlank"": false}, {""text"": ""а"", ""isBlank"": false}, {""text"": ""т"", ""isBlank"": false}, {""text"": ""е"", ""isBlank"": false}, {""text"": ""л"", ""isBlank"": false}, {""text"": ""ь"", ""isBlank"": false}, {""text"": ""н"", ""isBlank"": false}, {""text"": ""а"", ""isBlank"": false}, {""text"": ""я"", ""isBlank"": false}]","[{""id"": 12, ""text"": ""а"", ""isCorrect"": false, ""index"": 3, ""task_id"": 5}, {""id"": 13, ""text"": ""о"", ""isCorrect"": true, ""index"": 2, ""task_id"": 5}, {""id"": 11, ""text"": ""ё"", ""isCorrect"": false, ""index"": 1, ""task_id"": 5}]",False,чередование корней мак/мок
6,gapFillLetter,{task_text} (лист),"[{""text"": ""п"", ""isBlank"": false}, {""text"": ""р"", ""isBlank"": false}, {""text"": ""о"", ""isBlank"": false}, {""text"": ""м"", ""isBlank"": false}, {""text"": ""о"", ""isBlank"": true}, {""text"": ""к"", ""isBlank"": false}, {""text"": ""н"", ""isBlank"": false}, {""text"": ""у"", ""isBlank"": false}, {""text"": ""т"", ""isBlank"": false}, {""text"": ""ь"", ""isBlank"": false}]","[{""id"": 15, ""text"": ""а"", ""isCorrect"": false, ""index"": 2, ""task_id"": 6}, {""id"": 16, ""text"": ""о"", ""isCorrect"": true, ""index"": 3, ""task_id"": 6}, {""id"": 14, ""text"": ""ё"", ""isCorrect"": false, ""index"": 1, ""task_id"": 6}]",False,чередование корней мак/мок
7,gapFillLetter,{task_text} (сухарь в чай),"[{""text"": ""м"", ""isBlank"": false}, {""text"": ""а"", ""isBlank"": true}, {""text"": ""к"", ""isBlank"": false}, {""text"": ""а"", ""isBlank"": false}, {""text"": ""т"", ""isBlank"": false}, {""text"": ""ь"", ""isBlank"": false}]","[{""id"": 18, ""text"": ""а"", ""isCorrect"": true, ""index"": 2, ""task_id"": 7}, {""id"": 17, ""text"": ""о"", ""isCorrect"": false, ""index"": 1, ""task_id"": 7}]",False,чередование корней мак/мок
8,gapFillLetter,,"[{""text"": ""л"", ""isBlank"": false}, {""text"": ""а"", ""isBlank"": true}, {""text"": ""м"", ""isBlank"": false}, {""text"": ""и"", ""isBlank"": false}, {""text"": ""н"", ""isBlank"": false}, {""text"": ""и"", ""isBlank"": false}, {""text"": ""р"", ""isBlank"": false}, {""text"": ""о"", ""isBlank"": false}, {""text"": ""в"", ""isBlank"": false}, {""text"": ""а"", ""isBlank"": false}, {""text"": ""т"", ""isBlank"": false}, {""text"": ""ь"", ""isBlank"": false}]","[{""id"": 19, ""text"": ""о"", ""isCorrect"": false, ""index"": 2, ""task_id"": 8}, {""id"": 20, ""text"": ""а"", ""isCorrect"": true, ""index"": 1, ""task_id"": 8}]",False,Необходимо запомнить!
9,gapFillLetter,,"[{""text"": ""з"", ""isBlank"": false}, {""text"": ""а"", ""isBlank"": true}, {""text"": ""б"", ""isBlank"": false}, {""text"": ""о"", ""isBlank"": false}, {""text"": ""т"", ""isBlank"": false}, {""text"": ""л"", ""isBlank"": false}, {""text"": ""и"", ""isBlank"": false}, {""text"": ""в"", ""isBlank"": false}, {""text"": ""ы"", ""isBlank"": false}, {""text"": ""й"", ""isBlank"": false}]","[{""id"": 22, ""text"": ""а"", ""isCorrect"": true, ""index"": 1, ""task_id"": 9}, {""id"": 21, ""text"": ""о"", ""isCorrect"": false, ""index"": 2, ""task_id"": 9}]",False,Необходимо запомнить!
10,gapFillLetter,,"[{""text"": ""к"", ""isBlank"": false}, {""text"": ""о"", ""isBlank"": true}, {""text"": ""м"", ""isBlank"": false}, {""text"": ""п"", ""isBlank"": false}, {""text"": ""а"", ""isBlank"": false}, {""text"": ""н"", ""isBlank"": false}, {""text"": ""ь"", ""isBlank"": false}, {""text"": ""о"", ""isBlank"": false}, {""text"": ""н"", ""isBlank"": false}]","[{""id"": 25, ""text"": ""о"", ""isCorrect"": true, ""index"": 3, ""task_id"": 10}, {""id"": 24, ""text"": ""а"", ""isCorrect"": false, ""index"": 1, ""task_id"": 10}, {""id"": 23, ""text"": ""ё"", ""isCorrect"": false, ""index"": 2, ""task_id"": 10}]",False,Необходимо запомнить!
