id,type,prompt,tokens,answers,is_hard,comment
1368,gapFillLetter,,"[{""text"": ""п"", ""isBlank"": false}, {""text"": ""е"", ""isBlank"": false}, {""text"": ""д"", ""isBlank"": false}, {""text"": ""и"", ""isBlank"": true}, {""text"": ""н"", ""isBlank"": false}, {""text"": ""с"", ""isBlank"": false}, {""text"": ""т"", ""isBlank"": false}, {""text"": ""и"", ""isBlank"": false}, {""text"": ""т"", ""isBlank"": false}, {""text"": ""у"", ""isBlank"": false}, {""text"": ""т"", ""isBlank"": false}]","[{""id"": 5156, ""text"": ""е"", ""isCorrect"": false, ""index"": 1, ""task_id"": 1368}, {""id"": 5157, ""text"": ""и"", ""isCorrect"": true, ""index"": 2, ""task_id"": 1368}, {""id"": 5158, ""text"": ""ы"", ""isCorrect"": false, ""index"": 3, ""task_id"": 1368}]",False,"Педагогический институт. Сложносокращённое слово, ""и"" сохраняется"
1369,gapFillLetter,,"[{""text"": ""с"", ""isBlank"": false}, {""text"": ""в"", ""isBlank"": false}, {""text"": ""е"", ""isBlank"": false}, {""text"": ""р"", ""isBlank"": false}, {""text"": ""х"", ""isBlank"": false}, {""text"": ""и"", ""isBlank"": true}, {""text"": ""м"", ""isBlank"": false}, {""text"": ""п"", ""isBlank"": false}, {""text"": ""у"", ""isBlank"": false}, {""text"": ""л"", ""isBlank"": false}, {""text"": ""ь"", ""isBlank"": false}, {""text"": ""с"", ""isBlank"": false}, {""text"": ""и"", ""isBlank"": false}, {""text"": ""в"", ""isBlank"": false}, {""text"": ""н"", ""isBlank"": false}, {""text"": ""ы"", ""isBlank"": false}, {""text"": ""й"", ""isBlank"": false}]","[{""id"": 5161, ""text"": ""и"", ""isCorrect"": true, ""index"": 3, ""task_id"": 1369}, {""id"": 5159, ""text"": ""е"", ""isCorrect"": false, ""index"": 1, ""task_id"": 1369}, {""id"": 5160, ""text"": ""ы"", ""isCorrect"": false, ""index"": 2, ""task_id"": 1369}]",False,"после приставок ""сверх"" и ""меж"" буква ""и"" сохраняется"
1370,gapFillLetter,,"[{""text"": ""с"", ""isBlank"": false}, {""text"": ""в"", ""isBlank"": false}, {""text"": ""е"", ""isBlank"": false}, {""text"": ""р"", ""isBlank"": false}, {""text"": ""х"", ""isBlank"": false}, {""text"": ""и"", ""isBlank"": true}, {""text"": ""н"", ""isBlank"": false}, {""text"": ""т"", ""isBlank"": false}, {""text"": ""е"", ""isBlank"": false}, {""text"": ""р"", ""isBlank"": false}, {""text"": ""е"", ""isBlank"": false}, {""text"": ""с"", ""isBlank"": false}, {""text"": ""н"", ""isBlank"": false}, {""text"": ""ы"", ""isBlank"": false}, {""text"": ""й"", ""isBlank"": false}]","[{""id"": 5164, ""text"": ""ы"", ""isCorrect"": false, ""index"": 3, ""task_id"": 1370}, {""id"": 5162, ""text"": ""е"", ""isCorrect"": false, ""index"": 1, ""task_id"": 1370}, {""id"": 5163, ""text"": ""и"", ""isCorrect"": true, ""index"": 2, ""task_id"": 1370}]",False,"после приставок ""сверх"" и ""меж"" буква ""и"" сохраняется"
1371,gapFillLetter,,"[{""text"": ""с"", ""isBlank"": false}, {""text"": ""в"", ""isBlank"": false}, {""text"": ""е"", ""isBlank"": false}, {""text"": ""р"", ""isBlank"": false}, {""text"": ""х"", ""isBlank"": false}, {""text"": ""и"", ""isBlank"": true}, {""text"": ""д"", ""isBlank"": false}, {""text"": ""е"", ""isBlank"": false}, {""text"": ""я"", ""isBlank"": false}]","[{""id"": 5166, ""text"": ""е"", ""isCorrect"": false, ""index"": 2, ""task_id"": 1371}, {""id"": 5165, ""text"": ""ы"", ""isCorrect"": false, ""index"": 1, ""task_id"": 1371}, {""id"": 5167, ""text"": ""и"", ""isCorrect"": true, ""index"": 3, ""task_id"": 1371}]",False,"после приставок ""сверх"" и ""меж"" буква ""и"" сохраняется"
1372,gapFillLetter,,"[{""text"": ""с"", ""isBlank"": false}, {""text"": ""в"", ""isBlank"": false}, {""text"": ""е"", ""isBlank"": false}, {""text"": ""р"", ""isBlank"": false}, {""text"": ""х"", ""isBlank"": false}, {""text"": ""и"", ""isBlank"": true}, {""text"": ""д"", ""isBlank"": false}, {""text"": ""е"", ""isBlank"": false}, {""text"": ""й"", ""isBlank"": false}, {""text"": ""н"", ""isBlank"": false}, {""text"": ""ы"", ""isBlank"": false}, {""text"": ""й"", ""isBlank"": false}]","[{""id"": 5169, ""text"": ""ы"", ""isCorrect"": false, ""index"": 2, ""task_id"": 1372}, {""id"": 5170, ""text"": ""е"", ""isCorrect"": false, ""index"": 3, ""task_id"": 1372}, {""id"": 5168, ""text"": ""и"", ""isCorrect"": true, ""index"": 1, ""task_id"": 1372}]",False,"после приставок ""сверх"" и ""меж"" буква ""и"" сохраняется"
1373,gapFillLetter,,"[{""text"": ""с"", ""isBlank"": false}, {""text"": ""в"", ""isBlank"": false}, {""text"": ""е"", ""isBlank"": false}, {""text"": ""р"", ""isBlank"": false}, {""text"": ""х"", ""isBlank"": false}, {""text"": ""и"", ""isBlank"": true}, {""text"": ""с"", ""isBlank"": false}, {""text"": ""к"", ""isBlank"": false}, {""text"": ""у"", ""isBlank"": false}, {""text"": ""с"", ""isBlank"": false}, {""text"": ""н"", ""isBlank"": false}, {""text"": ""ы"", ""isBlank"": false}, {""text"": ""й"", ""isBlank"": false}]","[{""id"": 5171, ""text"": ""е"", ""isCorrect"": false, ""index"": 1, ""task_id"": 1373}, {""id"": 5172, ""text"": ""и"", ""isCorrect"": true, ""index"": 2, ""task_id"": 1373}, {""id"": 5173, ""text"": ""ы"", ""isCorrect"": false, ""index"": 3, ""task_id"": 1373}]",False,"после приставок ""сверх"" и ""меж"" буква ""и"" сохраняется"
1374,gapFillLetter,,"[{""text"": ""с"", ""isBlank"": false}, {""text"": ""в"", ""isBlank"": false}, {""text"": ""е"", ""isBlank"": false}, {""text"": ""р"", ""isBlank"": false}, {""text"": ""х"", ""isBlank"": false}, {""text"": ""и"", ""isBlank"": true}, {""text"": ""н"", ""isBlank"": false}, {""text"": ""в"", ""isBlank"": false}, {""text"": ""е"", ""isBlank"": false}, {""text"": ""с"", ""isBlank"": false}, {""text"": ""т"", ""isBlank"": false}, {""text"": ""и"", ""isBlank"": false}, {""text"": ""ц"", ""isBlank"": false}, {""text"": ""и"", ""isBlank"": false}, {""text"": ""и"", ""isBlank"": false}]","[{""id"": 5175, ""text"": ""ы"", ""isCorrect"": false, ""index"": 2, ""task_id"": 1374}, {""id"": 5174, ""text"": ""и"", ""isCorrect"": true, ""index"": 1, ""task_id"": 1374}, {""id"": 5176, ""text"": ""е"", ""isCorrect"": false, ""index"": 3, ""task_id"": 1374}]",False,"после приставок ""сверх"" и ""меж"" буква ""и"" сохраняется"
1375,gapFillLetter,,"[{""text"": ""с"", ""isBlank"": false}, {""text"": ""в"", ""isBlank"": false}, {""text"": ""е"", ""isBlank"": false}, {""text"": ""р"", ""isBlank"": false}, {""text"": ""х"", ""isBlank"": false}, {""text"": ""и"", ""isBlank"": true}, {""text"": ""з"", ""isBlank"": false}, {""text"": ""я"", ""isBlank"": false}, {""text"": ""щ"", ""isBlank"": false}, {""text"": ""н"", ""isBlank"": false}, {""text"": ""ы"", ""isBlank"": false}, {""text"": ""й"", ""isBlank"": false}]","[{""id"": 5178, ""text"": ""и"", ""isCorrect"": true, ""index"": 2, ""task_id"": 1375}, {""id"": 5177, ""text"": ""ы"", ""isCorrect"": false, ""index"": 1, ""task_id"": 1375}, {""id"": 5179, ""text"": ""е"", ""isCorrect"": false, ""index"": 3, ""task_id"": 1375}]",False,"после приставок ""сверх"" и ""меж"" буква ""и"" сохраняется"
1376,gapFillLetter,,"[{""text"": ""к"", ""isBlank"": false}, {""text"": ""о"", ""isBlank"": false}, {""text"": ""н"", ""isBlank"": false}, {""text"": ""т"", ""isBlank"": false}, {""text"": ""р"", ""isBlank"": false}, {""text"": ""и"", ""isBlank"": true}, {""text"": ""г"", ""isBlank"": false}, {""text"": ""р"", ""isBlank"": false}, {""text"": ""а"", ""isBlank"": false}]","[{""id"": 5180, ""text"": ""ы"", ""isCorrect"": false, ""index"": 1, ""task_id"": 1376}, {""id"": 5182, ""text"": ""е"", ""isCorrect"": false, ""index"": 3, ""task_id"": 1376}, {""id"": 5181, ""text"": ""и"", ""isCorrect"": true, ""index"": 2, ""task_id"": 1376}]",False,"иноязычная приставка ""контр"", буква ""и"" сохраняется"
1377,gapFillLetter,,"[{""text"": ""и"", ""isBlank"": false}, {""text"": ""с"", ""isBlank"": true}, {""text"": ""ч"", ""isBlank"": false}, {""text"": ""е"", ""isBlank"": false}, {""text"": ""з"", ""isBlank"": false}, {""text"": ""а"", ""isBlank"": false}, {""text"": ""т"", ""isBlank"": false}, {""text"": ""ь"", ""isBlank"": false}]","[{""id"": 5183, ""text"": ""з"", ""isCorrect"": false, ""index"": 1, ""task_id"": 1377}, {""id"": 5184, ""text"": ""с"", ""isCorrect"": true, ""index"": 2, ""task_id"": 1377}]",False,"После проверемой буквы стоит глухой согласный звук ""ч"", значит пишется буква ""с"""
